4.23E+00	0.00E+00
4.24E+00	0.00E+00
4.25E+00	0.00E+00
4.26E+00	0.00E+00
4.27E+00	0.00E+00
4.28E+00	0.00E+00
4.29E+00	0.00E+00
4.30E+00	0.00E+00
4.31E+00	0.00E+00
4.32E+00	0.00E+00
4.33E+00	0.00E+00
4.34E+00	0.00E+00
4.35E+00	0.00E+00
4.36E+00	0.00E+00
4.37E+00	0.00E+00
4.38E+00	0.00E+00
4.39E+00	0.00E+00
4.40E+00	0.00E+00
4.41E+00	0.00E+00
4.42E+00	0.00E+00
4.43E+00	0.00E+00
4.44E+00	0.00E+00
4.45E+00	0.00E+00
4.46E+00	0.00E+00
4.47E+00	0.00E+00
4.48E+00	0.00E+00
4.49E+00	0.00E+00
4.50E+00	0.00E+00
4.51E+00	0.00E+00
4.52E+00	0.00E+00
4.53E+00	0.00E+00
4.54E+00	0.00E+00
4.55E+00	0.00E+00
4.56E+00	0.00E+00
4.57E+00	0.00E+00
4.58E+00	0.00E+00
4.59E+00	0.00E+00
4.60E+00	0.00E+00
4.61E+00	0.00E+00
4.62E+00	0.00E+00
4.63E+00	0.00E+00
4.64E+00	0.00E+00
4.65E+00	0.00E+00
4.66E+00	0.00E+00
4.67E+00	0.00E+00
4.68E+00	0.00E+00
4.69E+00	0.00E+00
4.70E+00	0.00E+00
4.71E+00	0.00E+00
4.72E+00	0.00E+00
4.73E+00	0.00E+00
4.74E+00	0.00E+00
4.75E+00	0.00E+00
4.76E+00	0.00E+00
4.77E+00	0.00E+00
4.78E+00	0.00E+00
4.79E+00	0.00E+00
4.80E+00	0.00E+00
4.81E+00	0.00E+00
4.82E+00	0.00E+00
4.83E+00	0.00E+00
4.84E+00	0.00E+00
4.85E+00	0.00E+00
4.86E+00	0.00E+00
4.87E+00	0.00E+00
4.88E+00	0.00E+00
4.89E+00	0.00E+00
4.90E+00	0.00E+00
4.91E+00	9.17E+00
4.92E+00	1.83E+01
4.93E+00	2.75E+01
4.94E+00	3.67E+01
4.95E+00	4.58E+01
4.96E+00	5.50E+01
4.97E+00	5.68E+01
4.98E+00	5.87E+01
4.99E+00	6.05E+01
5.00E+00	6.23E+01
5.01E+00	6.42E+01
5.02E+00	6.60E+01
5.03E+00	6.78E+01
5.04E+00	6.97E+01
5.05E+00	7.15E+01
5.06E+00	7.33E+01
5.07E+00	7.52E+01
5.08E+00	7.70E+01
5.09E+00	8.07E+01
5.10E+00	8.43E+01
5.11E+00	8.80E+01
5.12E+00	9.17E+01
5.13E+00	9.53E+01
5.14E+00	9.90E+01
5.15E+00	1.06E+02
5.16E+00	1.14E+02
5.17E+00	1.21E+02
5.18E+00	1.28E+02
5.19E+00	1.36E+02
5.20E+00	1.43E+02
5.21E+00	1.50E+02
5.22E+00	1.58E+02
5.23E+00	1.65E+02
5.24E+00	1.72E+02
5.25E+00	1.80E+02
5.26E+00	1.87E+02
5.27E+00	1.91E+02
5.28E+00	1.94E+02
5.29E+00	1.98E+02
5.30E+00	2.02E+02
